,函數,參數0,參數1,參數2,參數3,參數4,參數5,參數6,參數7,參數8,參數9,參數10,參數11,參數12
0,旁白,"MEM[""名""]","""「咿、好冷！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""冷不防，真的是冷不防。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""跳下床的瞬間，我的腿部肌肉因為寒冷而抽了筋，害得我一個沒站穩，臉部朝下地摔倒在兩名少女之間。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""兩名少女立即停手，錯愕地望著我。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""總之能讓她們暫時停手真是太好了，滿臉鼻血的我如此慶幸著。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""加速""",0.75,568,,,1,"""「你……你沒事吧？」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,,"""金髮少女名叫輔仁。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""簡單來說，就是將輔仁大學的各種代表性象徵，經由某些不明科技擬人化後誕生出來的人物。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""不久前，全國各地的大學為了爭奪高等教育司核發的鉅額補助經費，而引發了名為「五年五百億爭奪戰」的事件。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""在那次事件中，我被高教司指定為負責決定大學間競賽方式的重要角色。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""輔仁便是在那時認識的。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「沒事，我（的房間）沒事……」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""嘴上這麼說著，我緩慢地調整四肢的位置，擺出像是在進行「滑壘」的姿勢。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""沒錯，即使是跌倒，姿勢也要很豪邁。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""哀""","""線性""",0.75,568,,,1,"""「可是""+MEM[""暱稱""]+""，你都流鼻血了？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,2,"""「肯定是瞥見了我們的裙底風光，就像漫畫裡演的一樣。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「想太多了吧妳！等等，妳又是誰？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,2,"""「哎呀，真是遺憾。看來先前的騷動裡，您似乎並未注意到我的存在。」""",,,"""？？？""",
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「就算妳這麼說，妳是有做了什麼引人注意的事嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""樂""","""線性""",0.25,568,,,2,"""「有的。我可是看完了一整套的《戰爭與和平》。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「那豈不是單純只是看書而已嗎！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""特""","""線性""",0.75,568,,,1,"""「總之呢，這個具有溝通障礙的孤僻書呆子就是政大，""+MEM[""暱稱""]+""你就對她多多包容吧。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,2,"""「真是失禮。不過對於欠缺文化素養的人來說倒是很合理。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""兩人再次拔出兇器，劍拔弩張地對峙。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「能請兩位小姐先別急著動手嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「話說妳們兩個為何大清早的，非得要在我房間裡吵架不可？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""輔仁和政大對望一眼，開始七嘴八舌地拼湊爭執的前因後果。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c0-1""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c0-1,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「……大學聯合聖誕舞會？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「正是如此。屆時全國各地的大學將會齊聚一堂，和對各所大學有興趣的學生們進行近距離交流。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「不但可以提高新生入學的意願，還能讓大家更加認識我們！那天肯定會非常熱鬧！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""哀""","""線性""",0.25,568,,,2,"""「倘若多了某人瞎攪和的話，就萬事皆休了呢。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「妳是在指我嗎？政大！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「別急著對號入座呀，輔仁。再說，我也沒閒時間去理會一個舉止粗魯的野蠻丫頭。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「看來最近政大新生減少許多是有原因的。看政大一臉陰險樣，也難怪呢！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""唉，簡單來說，這些大學為了選出兩個負責籌備聖誕舞會的委員，而舉行了一次抽籤……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""而抽到籤的，就是輔仁和政大這個個性完全南轅北轍的最糟糕的組合。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""雖然剛開始她們還算勉強能夠合作，但嘴上雖然不說，怒氣卻仍然在持續累積。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""到了最重要的部份，也就是決定場地的時候，終於還是忍不住大吵了起來。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「在妳們在我房間裡舉行『武』會之前，先讓我問清楚一件事……」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「所以這個聖誕舞會，跟我又有什麼關係？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「當然有囉。上次""+MEM[""暱稱""]+""不是很出色地幫我們解決事件了嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「妳是不是把我想得太偉大啦？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「更何況五百億爭奪戰，到最後還是靠妳們自己處理掉的吧？我可沒特別做什麼。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,2,"""「那倒不盡然。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「呃……怎麼說？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「明明只是個普通的高中生，卻協助全體大學凝聚起共同意識，齊心對抗高教司的獨斷行為……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,2,"""「像這樣戲劇性的發展，究竟是怎麼造成的呢？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「從各種角度分析，都只能解釋成是『因為有""+MEM[""姓""]+""同學在』的緣故了。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「換言之，『""+MEM[""姓名""]+""』這個人的存在，或許具有其特殊意義－－這是我個人的推論。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「記得台藝大也說過類似的話耶。若是沒有""+MEM[""暱稱""]+""的話，我們恐怕也無法達成目的。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""都說了，那全是靠妳們自己的努力啊……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「就因為這個緣故，妳們才會找上我幫忙決定舉行舞會的場地？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,2,"""「不愧是""+MEM[""姓""]+""同學，一針見血地看出我們目前面臨的最大難題，就是很不幸地讓輔仁抽到了舞會的籌備委員。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「讓政大抽到籌備委員才是末日降臨呢！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「唉……總之我明白狀況了。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「總之只要幫妳們決定場地就可以了吧？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「沒錯，""+MEM[""暱稱""]+""。舞會的內容與進行方式大致都已經確定好了。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「""+MEM[""姓""]+""同學只需要協助確定舉辦場地，簡單明瞭。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「唉……總之我明白狀況了。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"""輔仁&政大""","""「只要政大（輔仁）不再來找麻煩的話。」""",,,,,,,,,,,
0,角色彩度,"""輔仁""",100,100,100,,,,,,,,,
0,角色彩度,"""政大""",100,100,100,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""看來我沒什麼選擇的餘地。這下可傷腦筋了……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""想要她們其中一個退讓是不可能的。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""因此，要是我最後選擇了其中一人的提議，另一個人想必會感到很不愉快。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""不論如何，為了社會的安寧祥和以及我房間的安全，我只得插手這件事。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-0""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-0,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""主角房間""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""為了決定要先去哪個人所決定的地點，輔仁和政大展開了一場氣氛險惡的猜拳。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""明明今天就要把場勘完成，她們卻仍然執著於這種小事上，真不知該說啥才好。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「剪刀石頭布！」""",,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「剪刀石頭布！」""",,,,
0,旁白,"""輔仁&政大""","""「剪刀石頭布！剪刀石頭布！剪刀石頭布……」""",,,,,,,,,,,
0,角色彩度,"""輔仁""",100,100,100,,,,,,,,,
0,角色彩度,"""政大""",100,100,100,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""巧合的是，兩個人老是使出相同的拳，遲遲分不出勝負。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""過了不知多久，就在我眼皮將要重新闔上之際──""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「耶，贏了！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""哀""","""線性""",0.25,568,,,2,"""「……啊。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""結果是由輔仁獲勝。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""輔仁高興地蹦蹦跳跳，而政大則是不悅地鼓起臉頰。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我打了個大呵欠，心想怎樣都好，我只希望趕快解決問題，睡個安穩的好覺。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-1""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-1,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""捷運站""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""據輔仁所說，考量到交通便利性，她所選的地點剛好位於捷運的路線上。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""於是我們從我的住處即刻啟程，走進鄰近的捷運站。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""或許是被兩名美少女左右包夾的緣故，旁人射來的險惡視線刺得我渾身發癢。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,背景,"""捷運車廂""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""這時列車剛好到站，我趕緊混入上車的人群，裝成自己是森林裡的一棵樹。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「呼呼呼，首先是我所選的場地呢。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「待會""+MEM[""暱稱""]+""你就會知道，我輔仁是多麼有眼光！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「的確，如果要讓高中生也能輕鬆到達的話，選擇捷運附近的場地是很合適。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「對吧對吧！不但知名度夠高，而且還離我那兒非常近，有需要的話可以就近支援。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「看來我的勝利已經是既成事實了呢。啊啊，一切都是神的意志！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「嘿～～」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「怎麼，難道妳又有意見？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「真是敏感啊，輔仁。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「我只是單純認為，妳似乎對一般高中生具備的常識過於樂觀。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""樂""","""線性""",0.25,568,,,2,"""「妳雖說『知名度夠高』，說不定很多人就連地點在哪都還弄不清楚呢？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「這！這這這這……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「這怎麼可能嘛，你說是吧，""+MEM[""暱稱""]+""？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「感覺我好像躺著也中槍。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「既然妳如此有自信，就請全國最具代表性的高中生──""+MEM[""姓名""]+""同學來回答這個問題吧。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,2,"""「""+MEM[""姓""]+""同學，你可知道我們的目的地位於<class='bold'>捷運</class>的哪一條<class='bold'>路線</class>？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「就跟我在同一條線上，很簡單對吧？你應該不至於弄錯吧？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""唔……這裡似乎不謹慎回答不行。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""會是哪條<class='bold'>路線</class>呢？""",,,,,,,,,,,
0,選項,"""橘線（中和新蘆線）""","""執行函數包""","""[['前往章節','a1-1-1'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',1],['儲存選項記錄','q0']]""",,,,,,,,,,
0,選項,"""紅線（淡水信義線）""","""執行函數包""","""[['前往章節','a1-1-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q0']]""",,,,,,,,,,
0,選項,"""綠線（松山新店線）""","""執行函數包""","""[['前往章節','a1-1-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q0']]""",,,,,,,,,,
0,選項,"""棕線（文湖線）""","""執行函數包""","""[['前往章節','a1-1-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q0']]""",,,,,,,,,,
wait,"""choose""",,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-1-1,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「看吧，不愧是""+MEM[""暱稱""]+""，輕輕鬆鬆就回答出來了！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,2,"""「""+MEM[""姓""]+""同學，真讓人出乎意料。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""真是好險……輔仁看起來很滿意。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-2""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-1-2,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「""+MEM[""姓名""]+""！你居然連我在哪條捷運路線都不知道！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,2,"""「預料中的事呢。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""糟了！應該再確認過一遍答案才對……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-2""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-2,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「總之，我們現在搭乘的是捷運橘線，請""+MEM[""姓""]+""同學千萬牢記。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""唉……這種事大考又不會當成考題，實在不想多消耗剩餘的腦部空間去記它。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,表情,"""輔仁""","""平""",,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「若是身為主辦方的我們沒能寫明明確的交通資訊，會降低同學們參加的意願。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「……哦，知道了。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""奇怪，總覺得與其說政大是在試探我，不如說是在提醒我應該要注意的重點。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""或許是老愛跟輔仁針鋒相對的緣故，讓我對政大產生了誤解。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""說不定她的個性，沒我想像中那麼冷傲。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-3""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-3,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""捷運站""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""片刻過後，我們抵達了目標的捷運站。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""出捷運站後約十分鐘左右的步行距離，可以從林立的公寓大樓間，隱約見到不遠處靜靜矗立著一座巨大的環狀建物。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「""+MEM[""暱稱""]+""，接下來就讓你猜猜看我所選的地點是哪裡吧？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「我可以直接猜學校裡面嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「噗。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「認真點猜啦！還有政大妳剛才偷笑，有被我發現喔！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「為什麼還要猜，待會不就知道了嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
